"Forecasting Zone","Year","Building Type","Mid Case (M.Sq.Ft.)","Low Case (M.Sq.Ft.) ","High Case (M.Sq.Ft.)"
1,1989,"Hospitals",39.5317234029373,39.5317234029373,39.5317234029373
1,1990,"Hospitals",41.0351919420322,41.0351919420322,41.0351919420322
1,1991,"Hospitals",42.4403606634154,42.4403606634154,42.4403606634154
1,1992,"Hospitals",42.8571242000135,42.8571242000135,42.8571242000135
1,1993,"Hospitals",43.61189346192,43.61189346192,43.61189346192
1,1994,"Hospitals",44.5974157167065,44.5974157167065,44.5974157167065
1,1995,"Hospitals",45.3677910923742,45.3677910923742,45.3677910923742
1,1996,"Hospitals",45.7078159536801,45.7078159536801,45.7078159536801
1,1997,"Hospitals",47.5182449198466,47.5182449198466,47.5182449198466
1,1998,"Hospitals",47.7579126156007,47.7579126156007,47.7579126156007
1,1999,"Hospitals",48.7662749859114,48.7662749859114,48.7662749859114
1,2000,"Hospitals",49.309134362912,49.309134362912,49.309134362912
1,2001,"Hospitals",50.3108844243059,50.3108844243059,50.3108844243059
1,2002,"Hospitals",50.905803458248,50.905803458248,50.905803458248
1,2003,"Hospitals",51.8806742714559,51.8806742714559,51.8806742714559
1,2004,"Hospitals",52.4940387277187,52.4940387277187,52.4940387277187
1,2005,"Hospitals",52.7744776279757,52.7744776279757,52.7744776279757
1,2006,"Hospitals",53.1522203891995,53.1522203891995,53.1522203891995
1,2007,"Hospitals",54.3980861963159,54.3980861963159,54.3980861963159
1,2008,"Hospitals",56.1210837773053,56.1210837773053,56.1210837773053
1,2009,"Hospitals",57.0074223369663,57.0074223369663,57.0074223369663
1,2010,"Hospitals",57.6913069045601,57.6913069045601,57.6913069045601
1,2011,"Hospitals",58.5210580667358,58.5210580667358,58.5210580667358
1,2012,"Hospitals",59.9606066852963,59.9606066852963,59.9606066852963
1,2013,"Hospitals",62.4424099200661,62.4424099200661,62.4424099200661
1,2014,"Hospitals",63.1845987778787,63.1845987778787,63.1845987778787
