"years.list","small.office","restaurant","retail","grocery","warehouse","refrig.warehouse","school","college","hospital","hotel","misc","large.office","parking"
1970,0.914403881263896,0.546401157892435,3.53654267728004,0.797956817840736,0.614841903012908,0.00391032111634324,0.609285407891349,2.04505448734978,0.871938691327936,0.302207160342118,4.37905869880123,8.40996085364289,0.867313901600845
1971,0.930700304728827,0.560472394736244,3.60122441650334,0.814562550782517,0.675363457287601,0.00563890751625846,0.628165247240829,2.06452960053785,0.94406584995406,0.319648514616691,4.48155570589366,8.49153859374196,0.92000502003284
1972,0.951224968883979,0.574690126690598,3.69484366195126,0.838097388486264,0.744993068577531,0.00563490769700244,0.646408001497661,2.07215167588768,0.981022103713872,0.335156420835825,4.55269803448789,8.74980655481915,1.02394513786211
1973,0.965628162540131,0.587744545307614,3.77001043010526,0.857139926731987,0.805685862978819,0.00611324229268174,0.656738093256841,2.08565379305346,1.01927545155907,0.379073991957063,4.61605921869227,8.79279125298788,1.0637908129943
1974,0.983168511294647,0.602875852532484,3.86419504976106,0.880935978741719,0.881017903111013,0.00617065771275999,0.669937437733931,2.09251488022235,1.0554781848427,0.398288737431217,4.67117493024323,8.8970079419876,1.08329944366460
1975,1.00152532269986,0.614351828075691,3.92712698073767,0.897588176958468,0.961292177607464,0.00620144745234092,0.685434235671059,2.09395103322644,1.11157504374928,0.406255164524055,4.71746691971523,9.04971998391483,1.11579359009880
1976,1.01924404913788,0.626091615301853,3.98619660554387,0.913497838576786,1.04828373884272,0.0105156649642603,0.700580640536562,2.11040686285403,1.12970993357293,0.414531332180111,4.7639938543481,9.07960658755911,1.17700941294842
1977,1.03213657841076,0.638777773428186,4.05044721230531,0.929781057268436,1.09942227887145,0.0128868016093445,0.719755644807587,2.11382730527463,1.15614666525329,0.445089233380692,4.81385453385028,9.095516161258,1.21473308765729
1978,1.04726345563241,0.650193827568132,4.08176463291886,0.93835258714565,1.14781743245438,0.0130018645571666,0.728172799684984,2.11810982399417,1.17325865527337,0.451964584444148,4.84284126434676,9.10178486473734,1.23731521894790
1979,1.06410497154837,0.665881830445263,4.12668591797164,0.950329281405231,1.20690580637556,0.0161429119010986,0.733304337577794,2.12105151462504,1.18788273934969,0.460929877989796,4.88964688180525,9.12183555135594,1.25334510464558
1980,1.08591282403783,0.681837807146946,4.21667954232008,0.973235713278797,1.28609029074042,0.0171174940058092,0.735345980851096,2.12551680000346,1.19314719832498,0.464318734289535,4.9510229032579,9.23041612775786,1.31806253149203
1981,1.11205035423564,0.697283509868066,4.30770130029852,0.997628995621532,1.41931847787615,0.0194075395354886,0.73969813851156,2.13161570038821,1.20120463854093,0.489167644246099,5.02970035141045,9.35197779612625,1.36610270924049
1982,1.13652998856573,0.711623537413047,4.38242931006379,1.01763888909478,1.52663063958344,0.0196428773038953,0.74642933754802,2.13624905976924,1.21889222848908,0.506579467310983,5.08991750488654,9.55091832416591,1.43151776000668
1983,1.15263359452036,0.721423738368088,4.42342965663430,1.02891800527704,1.59508560412077,0.0206039824276547,0.752503358570098,2.14073179002519,1.24580345840598,0.53019160877247,5.13873477487909,9.71790920121735,1.53439232015119
1984,1.16233325997414,0.728675014940109,4.43740721263064,1.03283509689315,1.61654082133805,0.0236033451956427,0.755600556158839,2.14089440205132,1.26071202312018,0.55083557245032,5.15975958493596,9.9643079975029,1.62821941476763
1985,1.17139612814717,0.735166127802077,4.49419883849481,1.04698582741169,1.65066145320916,0.0248663983672839,0.75663840061744,2.14181311314589,1.29118648995555,0.615419184208548,5.18988572901227,10.1221317892274,1.71000679130418
1986,1.18520641138160,0.745014322787296,4.5799521673117,1.06805196383659,1.69305153579185,0.0251146887538580,0.758494638926536,2.14154813360988,1.30981509618501,0.642535763524528,5.23847217038562,10.3189384801535,1.75686224852121
1987,1.20721793821007,0.757298499811012,4.67611752291266,1.09270169692802,1.78592409918846,0.0252522352093781,0.76176796753434,2.14346597014533,1.32873805703895,0.684055305419135,5.31074201244111,10.5927133040921,1.81708437049416
1988,1.22411189045336,0.768118416267504,4.76663680168064,1.11557557231070,1.85872292774743,0.0271313424911747,0.76771624642449,2.14380140803802,1.35114786106534,0.731818088275821,5.40676871221632,10.7684253936087,1.86683175890801
1989,1.24413669582096,0.78089666092402,4.87321224229595,1.14300077651056,1.9671673795287,0.0277977058963397,0.775986065575929,2.15284426303951,1.37221012173891,0.804370386585742,5.51255732258204,10.9327709714482,1.98916426530142
1990,1.26679565487805,0.79579651783743,4.95206290596712,1.16418471637237,2.08415885421641,0.0287146575690324,0.793368048559214,2.16204989897540,1.40455600243081,0.835667488009419,5.61020291653032,11.0695720305081,2.08651550218465
1991,1.28560060514100,0.806327488137105,5.05833438805684,1.19092496216346,2.16609346529356,0.0289916106259514,0.809590634810119,2.16887534297492,1.42804403097391,0.872740909548878,5.68467412518303,11.2680186376639,2.21076048429869
1992,1.30420501734150,0.817470250222414,5.12050590650111,1.20761736239404,2.25639655152491,0.0313383386727732,0.825020994482004,2.17427598949307,1.45137606064071,0.907362839217894,5.76465009999257,11.4188057313202,2.30775485849876
1993,1.31667619664244,0.822143653253765,5.17535458295317,1.22147251516762,2.29754661784674,0.0362962099615455,0.837020203201464,2.18686297892935,1.46522354420317,0.913022333179293,5.8609955040269,11.4099523508362,2.34617445700099
1994,1.32434759351590,0.825442769747095,5.21614784370137,1.23139935118045,2.30997937268134,0.0398027001962019,0.846377682823532,2.19583436702170,1.48660646131330,0.913311530354804,5.91338265380085,11.3988440091300,2.42007774506431
1995,1.32995436933658,0.827828015581439,5.23896700589479,1.23700505644786,2.31607094080747,0.0441950086672253,0.863347436637315,2.19819483966632,1.49397018988764,0.914314046839237,5.92001800827839,11.3855685206638,2.48722404255601
1996,1.33961250387051,0.832744722690704,5.25973618086921,1.24233596195004,2.33090535666214,0.0455679324998543,0.8730789416425,2.20576625960032,1.49454156609638,0.91568654502085,5.9409119965474,11.3663898543184,2.58659061407007
1997,1.34435874758413,0.83648544956453,5.29080534524075,1.25016772238292,2.35049649383824,0.0459321766542512,0.880728474994569,2.20893435838119,1.49942451298172,0.915153921487268,5.9734310777109,11.3390782675147,2.60619090413841
1998,1.35120803755208,0.841954970704998,5.32395583544953,1.25850255634623,2.37097870075927,0.047340233979529,0.887686718924524,2.21472745297146,1.50697438978894,0.92184594621768,6.00592827048779,11.3229930176189,2.64940453348554
